Date,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
26-07-2024,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,1225,-178.3333333,null,null,No,null,2541.55177,Cash,-13.4661093,-14.2,21
27-07-2024,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,1270.5,-188.3333333,null,null,No,null,2543.419206,UPI,-13.49523061,-14.95,21.7
17-07-2024,CNR3914552220,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,null,null,null,Personal & Car related issue,null,null,2545.286643,null,-13.52435192,null,null
16-07-2024,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,966,95,null,null,No,null,2547.154079,UPI,-13.55347324,-12.8,-3.9
02-07-2024,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,1022,95,null,null,No,null,2549.021516,UPI,-13.58259455,-13.9,-4.4
02-07-2024,CNR2968477050,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,null,null,null,null,null,null,2550.888952,null,-13.61171586,null,null
05-07-2024,CNR2953298410,Success,CID243275,Bike,Electronic City,Langford Town,508.2,217,null,null,No,null,2552.756389,Cash,-13.64083717,10.18,0.9
09-07-2024,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,518,221.5,null,null,No,null,2554.623826,UPI,-13.66995848,10.35,0.82
12-07-2024,CNR178865335,Success,CID902781,eBike,Koramangala,Sarjapur Road,527.8,226,null,null,No,null,2556.491262,Cash,-13.69907979,10.52,0.74
11-07-2024,CNR2238083477,Success,CID217093,eBike,Basavanagudi,Hulimavu,537.6,230.5,null,null,No,null,2558.358699,Cash,-13.7282011,10.69,0.66
08-07-2024,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,547.4,235,null,null,No,null,2560.226135,Cash,-13.75732241,10.86,0.58
16-07-2024,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,null,null,null,Customer was coughing/sick,null,null,2562.093572,null,-13.78644372,null,null
03-07-2024,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,-1102.266667,-83,null,null,No,null,2563.961008,Cash,-13.81556503,-4.64,16.34
03-07-2024,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,-1129.466667,-86.85714286,null,null,No,null,2565.828445,Cash,-13.84468634,-4.834285714,16.62
19-07-2024,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,-1156.666667,-90.71428571,null,null,No,null,2567.695881,UPI,-13.87380765,-5.028571429,16.9
25-07-2024,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,-1183.866667,-94.57142857,null,null,No,null,2569.563318,UPI,-13.90292896,-5.222857143,17.18
15-07-2024,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,-1211.066667,-98.42857143,null,null,No,null,2571.430755,UPI,-13.93205027,-5.417142857,17.46
30-07-2024,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,-1238.266667,-102.2857143,null,null,No,null,2573.298191,Cash,-13.96117159,-5.611428571,17.74
21-07-2024,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,null,null,Driver asked to cancel,null,null,null,2575.165628,null,-13.9902929,null,null
23-07-2024,CNR2998177398,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,null,null,null,null,null,null,2577.033064,null,-14.01941421,null,null
27-07-2024,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,null,null,No,null,2578.900501,Cash,-14.04853552,4.8,4.7
23-07-2024,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,null,null,Driver is not moving towards pickup location,null,null,null,2580.767937,null,-14.07765683,null,null
23-07-2024,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,1963.5,-370,null,null,No,null,2582.635374,Cash,-14.10677814,18.95,-1.366666667
08-07-2024,CNR4094067447,Success,CID896062,Prime Sedan,Majestic,Jayanagar,2044,-390,null,null,No,null,2584.502811,Cash,-14.13589945,19.6,-1.566666667
14-07-2024,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,2124.5,-410,null,null,No,null,2586.370247,UPI,-14.16502076,20.25,-1.766666667
23-07-2024,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,null,null,null,Customer related issue,null,null,2588.237684,null,-14.19414207,null,null
03-07-2024,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,null,null,null,Customer was coughing/sick,null,null,2590.10512,null,-14.22326338,null,null
03-07-2024,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,null,null,Yes,Customer Demand,2591.972557,UPI,-14.25238469,3.1,3.5
24-07-2024,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,null,null,null,Customer related issue,null,null,2593.839993,null,-14.281506,null,null
10-07-2024,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,null,null,No,null,2595.70743,UPI,-14.31062731,3.8,4.9
20-07-2024,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,null,null,null,Customer related issue,null,null,2597.574867,null,-14.33974863,null,null
11-07-2024,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,-1330,-12,null,null,No,null,2599.442303,Cash,-14.36886994,-1.14,14.65
06-07-2024,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,-1379,-16,null,null,No,null,2601.30974,UPI,-14.39799125,-1.32,15
05-07-2024,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,-1428,-20,null,null,No,null,2603.177176,Cash,-14.42711256,-1.5,15.35
11-07-2024,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,-1477,-24,null,null,No,null,2605.044613,Cash,-14.45623387,-1.68,15.7
16-07-2024,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,null,null,null,null,null,null,2606.912049,null,-14.48535518,null,null
12-07-2024,CNR2558969135,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,-453.1333333,306.3333333,null,null,No,null,2608.779486,Cash,-14.51447649,4.826666667,12.52
16-07-2024,CNR1475901156,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,-466.7333333,310.9047619,null,null,No,null,2610.646923,Cash,-14.5435978,4.846666667,12.70285714
26-07-2024,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,-480.3333333,315.4761905,null,null,Yes,Vehicle Breakdown,2612.514359,Cash,-14.57271911,4.866666667,12.88571429
25-07-2024,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,-493.9333333,320.047619,null,null,No,null,2614.381796,Cash,-14.60184042,4.886666667,13.06857143
17-07-2024,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,-507.5333333,324.6190476,null,null,No,null,2616.249232,UPI,-14.63096173,4.906666667,13.25142857
07-07-2024,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,-521.1333333,329.1904762,null,null,No,null,2618.116669,Cash,-14.66008304,4.926666667,13.43428571
01-07-2024,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,null,null,null,null,null,null,2619.984105,null,-14.68920435,null,null
01-07-2024,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,-3164,870,null,null,No,null,2621.851542,UPI,-14.71832566,27.5,14.9
02-07-2024,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,-3381,920,null,null,No,null,2623.718979,UPI,-14.74744698,29,15.6
13-07-2024,CNR1328144318,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,null,null,null,More than permitted people in there,null,null,2625.586415,null,-14.77656829,null,null
25-07-2024,CNR2113448022,Success,CID954071,Mini,Hennur,Chamarajpet,2510.9,-532.5,null,null,No,null,2627.453852,Cash,-14.8056896,10.07,-6.5
18-07-2024,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,2587.2,-552.5,null,null,No,null,2629.321288,UPI,-14.83481091,10.26,-6.85
22-07-2024,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,2663.5,-572.5,null,null,No,null,2631.188725,UPI,-14.86393222,10.45,-7.2
15-07-2024,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,2739.8,-592.5,null,null,No,null,2633.056161,Cash,-14.89305353,10.64,-7.55
19-07-2024,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,null,null,null,null,null,null,2634.923598,null,-14.92217484,null,null
07-07-2024,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,null,null,null,More than permitted people in there,null,null,2636.791035,null,-14.95129615,null,null
06-07-2024,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,null,null,No,null,2638.658471,UPI,-14.98041746,4,4.3
04-07-2024,CNR2735636512,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,null,null,null,null,null,null,2640.525908,null,-15.00953877,null,null
26-07-2024,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,null,null,AC is Not working,null,null,null,2642.393344,null,-15.03866008,null,null
01-07-2024,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,796.6,572,null,null,No,null,2644.260781,Cash,-15.06778139,8.7,12.02
22-07-2024,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,812.7,585,null,null,No,null,2646.128217,Cash,-15.0969027,8.82,12.23
21-07-2024,CNR3800597080,Success,CID386103,Mini,JP Nagar,Chickpet,828.8,598,null,null,No,null,2647.995654,Cash,-15.12602402,8.94,12.44
05-07-2024,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,844.9,611,null,null,No,null,2649.863091,Cash,-15.15514533,9.06,12.65
29-07-2024,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,861,624,null,null,Yes,Customer Demand,2651.730527,UPI,-15.18426664,9.18,12.86
15-07-2024,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,null,null,null,More than permitted people in there,null,null,2653.597964,null,-15.21338795,null,null
16-07-2024,CNR2830899448,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,null,null,No,null,2655.4654,UPI,-15.24250926,4.3,3.4
14-07-2024,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,null,null,null,Personal & Car related issue,null,null,2657.332837,null,-15.27163057,null,null
11-07-2024,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,null,null,null,More than permitted people in there,null,null,2659.200273,null,-15.30075188,null,null
14-07-2024,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,null,null,No,null,2661.06771,Cash,-15.32987319,3.3,4.3
17-07-2024,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,null,null,null,null,null,null,2662.935147,null,-15.3589945,null,null
04-07-2024,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,278.8333333,114.1666667,null,null,No,null,2664.802583,Cash,-15.38811581,3.216666667,3.516666667
29-07-2024,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,282.3333333,116.6666667,null,null,No,null,2666.67002,Cash,-15.41723712,3.166666667,3.466666667
17-07-2024,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,285.8333333,119.1666667,null,null,No,null,2668.537456,UPI,-15.44635843,3.116666667,3.416666667
20-07-2024,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,null,null,null,Customer related issue,null,null,2670.404893,null,-15.47547974,null,null
08-07-2024,CNR3414585445,Success,CID954441,Bike,Peenya,Devanahalli,2283.4,-284,null,null,No,null,2672.272329,Cash,-15.50460105,15.14,1.64
07-07-2024,CNR3498955859,Success,CID596869,Auto,Chickpet,Hennur,2338,-294,null,null,No,null,2674.139766,UPI,-15.53372237,15.43,1.57
30-07-2024,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,2392.6,-304,null,null,No,null,2676.007203,Cash,-15.56284368,15.72,1.5
03-07-2024,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,2447.2,-314,null,null,No,null,2677.874639,UPI,-15.59196499,16.01,1.43
11-07-2024,CNR3697318617,Success,CID915228,Bike,Sarjapur Road,Chickpet,2501.8,-324,null,null,No,null,2679.742076,UPI,-15.6210863,16.3,1.36
22-07-2024,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,null,null,null,Customer related issue,null,null,2681.609512,null,-15.65020761,null,null
21-07-2024,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,null,null,null,Customer related issue,null,null,2683.476949,null,-15.67932892,null,null
22-07-2024,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,null,null,null,Personal & Car related issue,null,null,2685.344385,null,-15.70845023,null,null
26-07-2024,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,4298,1720,null,null,No,null,2687.211822,UPI,-15.73757154,6.8,27.1
26-07-2024,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,4564,1825,null,null,No,null,2689.079259,UPI,-15.76669285,7,28.6
03-07-2024,CNR3967141576,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,null,null,null,Customer related issue,null,null,2690.946695,null,-15.79581416,null,null
07-07-2024,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,null,null,null,null,null,null,2692.814132,null,-15.82493547,null,null
22-07-2024,CNR1640228595,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,-1433.833333,-940,null,null,Yes,Other Issue,2694.681568,Cash,-15.85405678,-12.06666667,6.8
19-07-2024,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,-1500.333333,-985,null,null,No,null,2696.549005,Cash,-15.88317809,-12.76666667,6.9
01-07-2024,CNR4158584930,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,-1566.833333,-1030,null,null,No,null,2698.416441,UPI,-15.91229941,-13.46666667,7
23-07-2024,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,null,null,null,Customer related issue,null,null,2700.283878,null,-15.94142072,null,null
26-07-2024,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,3192,1870,null,null,No,null,2702.151315,Cash,-15.97054203,-4.9,-1.4
05-07-2024,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,3388,1985,null,null,No,null,2704.018751,Cash,-15.99966334,-5.5,-1.7
18-07-2024,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,null,null,Driver asked to cancel,null,null,null,2705.886188,null,-16.02878465,null,null
21-07-2024,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,172.2,45,null,null,No,null,2707.753624,Cash,-16.05790596,7.94,15.82
13-07-2024,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,171.5,44.5,null,null,Yes,Other Issue,2709.621061,UPI,-16.08702727,8.06,16.14
08-07-2024,CNR2098165206,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,170.8,44,null,null,No,null,2711.488497,UPI,-16.11614858,8.18,16.46
22-07-2024,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,170.1,43.5,null,null,No,null,2713.355934,Cash,-16.14526989,8.3,16.78
24-07-2024,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,169.4,43,null,null,No,null,2715.223371,Cash,-16.1743912,8.42,17.1
21-07-2024,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,null,null,null,null,null,null,2717.090807,null,-16.20351251,null,null
29-07-2024,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,null,null,Change of plans,null,null,null,2718.958244,null,-16.23263382,null,null
15-07-2024,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,null,null,null,null,null,null,2720.82568,null,-16.26175513,null,null
01-07-2024,CNR3404012935,Success,CID344186,Mini,Chickpet,Chamarajpet,2415,-590,null,null,No,null,2722.693117,Cash,-16.29087644,-14.9,-14.2
11-07-2024,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,2562,-635,null,null,No,null,2724.560553,UPI,-16.31999776,-16.1,-15.4
30-07-2024,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,null,null,Driver is not moving towards pickup location,null,null,null,2726.42799,null,-16.34911907,null,null
07-07-2024,CNR4241139237,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,null,null,No,null,2728.295426,Cash,-16.37824038,4.7,4.1
27-07-2024,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,null,null,null,null,null,null,2730.162863,null,-16.40736169,null,null
16-07-2024,CNR1089424322,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,null,null,Driver asked to cancel,null,null,null,2732.0303,null,-16.436483,null,null
26-07-2024,CNR1038522685,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,null,null,null,Customer related issue,null,null,2733.897736,null,-16.46560431,null,null
04-07-2024,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,3451,1945,null,null,No,null,2735.765173,UPI,-16.49472562,1.8,25.5
16-07-2024,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,3661,2065,null,null,No,null,2737.632609,UPI,-16.52384693,1.7,26.9
20-07-2024,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,null,null,null,Customer related issue,null,null,2739.500046,null,-16.55296824,null,null
15-07-2024,CNR2536257550,Success,CID524066,Prime SUV,Mysore Road,Peenya,484.1666667,-999.1666667,null,null,No,null,2741.367482,Cash,-16.58208955,-4.016666667,-8.716666667
04-07-2024,CNR1655070318,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,501.6666667,-1046.666667,null,null,No,null,2743.234919,Cash,-16.61121086,-4.366666667,-9.266666667
27-07-2024,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,519.1666667,-1094.166667,null,null,No,null,2745.102356,Credit Card,-16.64033217,-4.716666667,-9.816666667
09-07-2024,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,null,null,null,Personal & Car related issue,null,null,2746.969792,null,-16.66945348,null,null
30-07-2024,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,56,-138.3333333,null,null,No,null,2748.837229,UPI,-16.6985748,6.066666667,11.06666667
13-07-2024,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,49,-148.3333333,null,null,No,null,2750.704665,UPI,-16.72769611,6.166666667,11.36666667
29-07-2024,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,42,-158.3333333,null,null,No,null,2752.572102,Cash,-16.75681742,6.266666667,11.66666667
24-07-2024,CNR3165383127,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,null,null,null,Customer was coughing/sick,null,null,2754.439538,null,-16.78593873,null,null
29-07-2024,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,null,null,null,null,null,null,2756.306975,null,-16.81506004,null,null
08-07-2024,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,-630,945,null,null,No,null,2758.174412,UPI,-16.84418135,-7.4,-3.9
16-07-2024,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,-686,1000,null,null,No,null,2760.041848,Cash,-16.87330266,-8.1,-4.4
09-07-2024,CNR2361058265,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,null,null,Driver is not moving towards pickup location,null,null,null,2761.909285,null,-16.90242397,null,null
26-07-2024,CNR255850248,Success,CID509309,Bike,Hosur Road,Richmond Town,1815.333333,114.1666667,null,null,No,null,2763.776721,Cash,-16.93154528,7.55,13.95
26-07-2024,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,1885.333333,116.6666667,null,null,No,null,2765.644158,Cash,-16.96066659,7.7,14.4
05-07-2024,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,1955.333333,119.1666667,null,null,No,null,2767.511594,UPI,-16.9897879,7.85,14.85
Date,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
26-07-2024,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,null,null,null,Personal & Car related issue,null,null,2769.379031,null,-17.01890921,null,null
25-07-2024,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,833,1830,null,null,No,null,2771.246468,Cash,-17.04803052,5.9,18.4
30-07-2024,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,868,1930,null,null,No,null,2773.113904,UPI,-17.07715183,6,19.2
22-07-2024,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,null,null,Driver is not moving towards pickup location,null,null,null,2774.981341,null,-17.10627315,null,null
02-07-2024,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,-1341.666667,-450,null,null,No,null,2776.848777,Credit Card,-17.13539446,-6.866666667,23.53333333
13-07-2024,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,-1401.166667,-470,null,null,No,null,2778.716214,UPI,-17.16451577,-7.266666667,24.28333333
23-07-2024,CNR3612067569,Success,CID476071,Bike,Tumkur Road,Whitefield,-1460.666667,-490,null,null,No,null,2780.58365,Cash,-17.19363708,-7.666666667,25.03333333
11-07-2024,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,null,null,null,Personal & Car related issue,null,null,2782.451087,null,-17.22275839,null,null
01-07-2024,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,null,null,null,null,null,null,2784.318524,null,-17.2518797,null,null
18-07-2024,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,null,null,null,Personal & Car related issue,null,null,2786.18596,null,-17.28100101,null,null
29-07-2024,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,1316,-198.3333333,null,null,No,null,2788.053397,Cash,-17.31012232,-15.7,22.4
26-07-2024,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,1361.5,-208.3333333,null,null,No,null,2789.920833,Cash,-17.33924363,-16.45,23.1
27-07-2024,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,1407,-218.3333333,null,null,No,null,2791.78827,UPI,-17.36836494,-17.2,23.8
17-07-2024,CNR3914552221,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,null,null,null,Personal & Car related issue,null,null,2793.655706,null,-17.39748625,null,null
16-07-2024,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,1078,95,null,null,No,null,2795.523143,UPI,-17.42660756,-15,-4.9
02-07-2024,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,1134,95,null,null,No,null,2797.39058,UPI,-17.45572887,-16.1,-5.4
02-07-2024,CNR2938119770,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,null,null,null,null,null,null,2799.258016,null,-17.48485019,null,null
05-07-2024,CNR2922941130,Success,CID243275,Bike,Electronic City,Langford Town,557.2,239.5,null,null,No,null,2801.125453,Cash,-17.5139715,11.03,0.5
09-07-2024,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,567,244,null,null,No,null,2802.992889,UPI,-17.54309281,11.2,0.42
12-07-2024,CNR2334323,Success,CID902781,eBike,Koramangala,Sarjapur Road,576.8,248.5,null,null,No,null,2804.860326,Cash,-17.57221412,11.37,0.34
11-07-2024,CNR2061552465,Success,CID217093,eBike,Basavanagudi,Hulimavu,586.6,253,null,null,No,null,2806.727762,Cash,-17.60133543,11.54,0.26
08-07-2024,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,596.4,257.5,null,null,No,null,2808.595199,Cash,-17.63045674,11.71,0.18
16-07-2024,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,null,null,null,Customer was coughing/sick,null,null,2810.462636,null,-17.65957805,null,null
03-07-2024,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,-1265.466667,-106.1428571,null,null,No,null,2812.330072,Cash,-17.68869936,-5.805714286,18.02
03-07-2024,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,-1292.666667,-110,null,null,No,null,2814.197509,Cash,-17.71782067,-6,18.3
19-07-2024,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,-1319.866667,-113.8571429,null,null,No,null,2816.064945,UPI,-17.74694198,-6.194285714,18.58
25-07-2024,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,-1347.066667,-117.7142857,null,null,No,null,2817.932382,UPI,-17.77606329,-6.388571429,18.86
15-07-2024,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,-1374.266667,-121.5714286,null,null,No,null,2819.799818,UPI,-17.8051846,-6.582857143,19.14
30-07-2024,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,-1401.466667,-125.4285714,null,null,No,null,2821.667255,Cash,-17.83430591,-6.777142857,19.42
21-07-2024,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,null,null,Driver asked to cancel,null,null,null,2823.534692,null,-17.86342722,null,null
23-07-2024,CNR2998177399,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,null,null,null,null,null,null,2825.402128,null,-17.89254854,null,null
27-07-2024,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,null,null,No,null,2827.269565,Cash,-17.92166985,4.8,4.7
23-07-2024,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,null,null,Driver is not moving towards pickup location,null,null,null,2829.137001,null,-17.95079116,null,null
23-07-2024,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,2205,-430,null,null,No,null,2831.004438,Cash,-17.97991247,20.9,-1.966666667
08-07-2024,CNR4094067448,Success,CID896062,Prime Sedan,Majestic,Jayanagar,2285.5,-450,null,null,No,null,2832.871874,Cash,-18.00903378,21.55,-2.166666667
14-07-2024,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,2366,-470,null,null,No,null,2834.739311,UPI,-18.03815509,22.2,-2.366666667
23-07-2024,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,null,null,null,Customer related issue,null,null,2836.606748,null,-18.0672764,null,null
